Movie,Comments,Frequency [Hz] (row 2)  /  Volume [dBFS] (row 3+),,,,,,,,,,,,,,,,,,
,,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
[Rec],,,,,,-20,,,,,,,,,,,,,,
[Rec2],,-14,,,,,,,,,,-16,,-18,-18,-18,,,,
13 Hours,,,,-20,,,,,-17,,,,,,,,,,,
310 to Yuma,,-17,-17,-17,,,,-20,-20,-20,,,,,,,,,,
7 Days in Entebbe,,-20,,,,,,,,,,,,,,,,,,
9,,-16,-13,-13,,,,,-18,-20,-20,-20,-19,-19,-19,-20,-20,,,-17
A Cure for Wellness,,,,,,-20,,,,,,,,,,,,,,
Ad Astra,,-20,-20,-20,,,,,,,,,,,,,,,,
Alien Covenant,,,,,,-17,-17,-17,-17,-17,-17,,,-19,-19,-19,,,,
Alita Battle Angel Blu-Ray,,-20,-20,-20,-20,-20,,,,,,,,,,,,,,
Alita Battle Angel UHD,,-12,-12,-12,-12,-12,,,,,,,,,,,,,,
American Assassin,,-20,-20,,,,,,,,,,,,,,,,,
American Ultra,,-20,,,,,,,,,,,,,,,,,,
Annihilation,,-19,-19,-19,,,,,,,,,,,,,,,,
Aquaman,,-15,-18,-18,-17,-20,,,,,,,,,,,,,,
A Quiet Place,,-12,-12,-12,,,-15,-16,-18,-20,,,,,,,,,,
The Art of Flight,,,,,,-19,,,,,,,,,,,,,,
Attack The Block,,,,,,,,,,,,-20,-20,,,,,,,
Ashfall,,-18,-18,-18,,-20,-20,-20,,,,,-20,-20,-20,,,,,
Bad Samaritan,,-20,-20,-20,-20,,,,,,,,,,,,,,,
Barely Lethal,,-12,-12,-12,-12,,,,-13,-13,,,,,,,,,,
Battle Los Angeles,,-19,,,,-18,,,-18,,-16,,,,,-16,,,,
Batman v Superman,,,,-17,-17,-17,-17,-17,-17,,,,,,,,,,,
Before I Wake,,-13,-13,,,,,,,-19,,,,,,,,,,
Beyond The Sky,,,,-15,,,,,,,,,,,,,,,-20,
Birds of Prey,,,-20,-20,,,,,,,,,,,,,,,,
BlacKKKlansman,,,,,,,,,,,,,,,,-18,,,,
Black Hawk Down,,,,,,,,,,,,,,-12,-12,-12,,,,
Black Widow(Disney+),,,,,-18,,,,,,,,,,,,,,,
Block Island Sound(Netflix),,-17,,,,,,,,,,,,,,,,,,
Bloodshot,,-20,-20,-20,,,,,,,,,,,,,,,,
Bumblebee,,-16,,,,,,,,,,,,,,,,,,
BladeRunner 2049,,-17,-17,-17,,-15,,,,,,,,,,,,,,
The Cabin in the Woods,,,,,,-16,,,,,,,,,,-20,-20,-20,-20,-20
Captain America TFA UHD,,,,,,,,,,,-20,,,,,,,,,
Captain America WS UHD,,,,,,,-20,,,,,,,,,-20,,,,
Cargo 2017,,,,,,-18,,,,,,,,,,,,,,
Chappie,,-20,,,,,,,,,,,,,,,,,,
Chasing The Dragon,,,-16,,,,,,,,,,,,,,,,,
Cloverfield,,-15,-17,-17,,-18,-15,-15,,,,,,,,,,,,
Cloverfield Paradox,,-13,-13,-13,-20,-20,,,,,,,,,,,,,,
Constantine,,,,,,,,,,-17,,,,,,,,,,
The Conjuring,,-15,-15,,,,,,,,,,,,,,,,,
Copshop,,-12,-12,-11,-12,-13,,,,,,,,,,,,,,
Countdown,,-17,-17,-17,,,,,,,,,,,,,,,,
Creed,,,,,,-19,-19,,,,,,,,,,,,,
Darling,,,-18,,,,,,,,,,,,,,,,,
Dead Rising Endgame,,-20,,,,,,,,,,-20,,,,,,,,
The Dark Knight,,-19,-17,-18,,-16,,,,,,,,,,,,,,
The Dark Tower,,,,-20,-20,-20,,,,,,,,,,,,,,
The Dead Room,,-16,,,,-19,,,,-17,,,,,,,,,,
Death Note LUtNW,,,-16,-16,-16,,,,,,,,,,,,-19,-19,,
Deepwater Horizon,,-17,-17,,-20,-20,,,,,,,,,,,,,,
Doctor Strange,,-19,-19,-19,-19,,,,,,-15,-17,,-15,,,,,,
Don’t Breathe,,-13,,,-17,,,,,,,,,,,,,,,
Dragon Blade,Narrow peaks of -12dB,-15,-15,-15,-15,-15,-15,-15,,,,,,,,,,,,
Dredd UHD,,,,,,,,,-18,-18,-18,-19,-19,,,,,,,
Dunkirk,CLIPPING WARNING,-13,-13,,,,,,,,,,,,,,,,,
Edge of Tomorrow,,-10,,,,-5,,,,,-5,,,,,,,,,
Elysium,,,,,,,,,,-18,-18,-18,,,,,,,,
Equalizer 2,,-12,-12,-12,-16,-16,-16,-16,,,,,,,,,,,,
Everly,,,,-18,,,-20,,,,,,,,,,,,,
Evil Dead 2013,,,,,,-20,,,,,,,,,,,,,,
Extraction 2015,,,-11,,-17,-19,,,,-19,,,,,,,,,,
Fallen 2018 (Korean),,,-17,,-18,-18,-18,,-16,-19,-6,-15,,-3,,,-17,-17,-17,-15
Fast and Furious TD,,,,,,,,,,,,-17,-17,-17,-19,-19,,,,
Final Destination 5,,,,,-20,,,,,,,,,,,,,,,
Final Fantasy The Spirits Within (4K UHD),,-14,,-9,-16,-18,,,,,,,,,,,,,,
Finch,,,-20,,,,,,,,,,,,,,,,,
Flatliners 2017,,-12,-13,-17,-16,-16,,,,,,,,,,,,,,
Ford v. Ferrari,,,,-20,-20,-20,,,,,,,,,,,,,,
The Fourth Kind,,,,,,,,,-18,,,,,,,,,,,
The Fourth Phase,,-13,-13,-18,-18,-18,,,,,,,,,,,,,,
Freaks,,-13,-13,-13,,,,,,,,,,,,,,,,
Free Guy,,-20,,,,,,,,,,,,,,,,,,
Frozen II,,-13,,,,-18,,,,,,,,,,,,,,
Full Strike,Narrow peaks of -12dB,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,,,,
Fury,,,,-20,-20,-20,,,,,,,,,,,,,,
Gemini Man,,-14,-14,,-19,,,,,,,,,,,,,,,
GI Joe ROC,,,,,,-20,,,,,,,,,,,,,,
Ghost Stories,,-15,-15,-15,-15,-15,-16,-16,-16,-16,-16,-20,,-17,-17,,,,,
Gladiator,,,-19,-19,,,,,,,,,,,,,,,,
Glass,,-15,-15,-15,-15,,,,,,,,,,,,,,,
Gods of Egypt,,-20,-20,-20,-20,-20,,,,,,,,,,,,,,
Gravity,,-18,,,,,,,,,,,,,,,,,,
Hacksaw Ridge,,-14,,-17,,,,-20,-20,-20,-20,,,,,,,,,
Hanna(2011),,,,,,-19,,,,,,-10,,,,,,,,
Happy Death Day,,-16,,-19,,-17,,,,,-18,,,,,-20,-20,-20,-20,-20
Halloween,,,,-19,,,,,,,,,,,,,,,,
Halo 4: Forward unto Dawn,,,,,-18,-18,,,,,,,-20,-20,-18,,-20,,,
Headhunters,,,,-17,,,-16,,-14,,,-15,,-19,-20,,-15,,,
Heist 2015,,-20,,,,,,,,,,,,,,,,,,
Helios,,,,,,-20,-20,-20,-20,-20,-20,,,,,,,,,
Hellboy II TGA,,,-20,-20,-19,-19,,,,,-14,,,,,-20,,,,
Higher Power UHD 2018,,-20,-20,-20,-20,-20,-20,-20,-20,-20,-15,-15,-15,,,,,,,
Hot Pursuit,,,-22,,,,,,,,,,,,,,,,,
Hotel Transylvania 3,,-13,,,,,,,,,,,,,,,,,,
How To Train Your Dragon,,,,-20,-17,,-19,,,,,,,,,-20,,,,
How To Train Your Dragon THW,,-12,-12,-12,-18,-17,-17,,,,,,,,,,,,,
Hunter Killer,,-15,-15,-15,-17,-10,,-19,,,,-15,,,,,,,,
The Hurricane Heist,,,-16,-16,-16,-17,-15,-17,,-16,-16,-16,,,-13,-13,-13,,,
The Hurt Locker,,-17,-17,-17,-19,-19,-17,-17,-15,-16,-16,-16,-14,-14,-16,-16,,-13,-14,-14
